
'OWNER'||','||'TABLE_NAME'||','||'CONSTRAINT_NAME'||','||'COLUMN_NAME'||','||'POSITION'||','||'R_OWN
OWNER,TABLE_NAME,CONSTRAINT_NAME,COLUMN_NAME,POSITION,R_OWNER,R_TABLE_NAME,R_COLUMN_NAME,DELETE_RULE

CON.OWNER||','||CON.TABLE_NAME||','||CON.CONSTRAINT_NAME||','||COL.COLUMN_NAME||','||COL.POSITION||','||CON.R_OWNER||','||RCON.TABLE_NAME||','||RCOL.COLUMN_NAME||','||NVL(CON.DELETE_RULE,'NOACTION')
AGGREGATE,RPT_SQL,FK_ARS_RPT,RPT_NAME,1,AGGREGATE,RPT_NAME,RPT_NAME,CASCADE
APEX_030200,WWV_FLOWS,WWV_FLOWS_FK,SECURITY_GROUP_ID,1,APEX_030200,WWV_FLOW_COMPANIES,PROVISIONING_COMPANY_ID,CASCADE
APEX_030200,WWV_FLOW_ALTERNATE_CONFIG,WWV_FLOW_ALT_CFG_FK,FLOW_ID,1,APEX_030200,WWV_FLOWS,ID,CASCADE
APEX_030200,WWV_FLOW_ALT_CONFIG_DETAIL,WWV_FLOW_ALT_CFG_D_FK,CONFIG,1,APEX_030200,WWV_FLOW_ALTERNATE_CONFIG,ID,CASCADE
APEX_030200,WWV_FLOW_APPLICATION_GROUPS,WWV_FLOW_APP_GROUPS_FK,SECURITY_GROUP_ID,1,APEX_030200,WWV_FLOW_COMPANIES,PROVISIONING_COMPANY_ID,CASCADE
APEX_030200,WWV_FLOW_APP_BUILD_PREF,WWV_FLOW_APP_BLDPRF_FK,SECURITY_GROUP_ID,1,APEX_030200,WWV_FLOW_COMPANIES,PROVISIONING_COMPANY_ID,CASCADE
APEX_030200,WWV_FLOW_APP_COMMENTS,WWV_FLOW_APP_COMMENTS_FK,FLOW_ID,1,APEX_030200,WWV_FLOWS,ID,CASCADE
APEX_030200,WWV_FLOW_BANNER,WWV_FLOW_BANNER_FK,ID,1,APEX_030200,WWV_FLOWS,ID,CASCADE
APEX_030200,WWV_FLOW_BUTTON_TEMPLATES,WWV_FLOW_BUTTONT_FK,FLOW_ID,1,APEX_030200,WWV_FLOWS,ID,CASCADE
APEX_030200,WWV_FLOW_CALS,WWV_FLOW_CAL_TO_FLOW_FK,FLOW_ID,1,APEX_030200,WWV_FLOWS,ID,CASCADE
APEX_030200,WWV_FLOW_CALS,WWV_FLOW_PLUG_CALENDAR_FK,PLUG_ID,1,APEX_030200,WWV_FLOW_PAGE_PLUGS,ID,CASCADE
APEX_030200,WWV_FLOW_CAL_TEMPLATES,WWV_FLOW_CAL_TEMPL_TO_FLOW_FK,FLOW_ID,1,APEX_030200,WWV_FLOWS,ID,CASCADE
APEX_030200,WWV_FLOW_COLLECTIONS$,WWV_FLOW_COLLECTION_FK,SESSION_ID,1,APEX_030200,WWV_FLOW_SESSIONS$,ID,CASCADE
APEX_030200,WWV_FLOW_COLLECTION_MEMBERS$,WWV_FLOW_COLLECTION_MEMBES_FK,COLLECTION_ID,1,APEX_030200,WWV_FLOW_COLLECTIONS$,ID,CASCADE
APEX_030200,WWV_FLOW_COMPANY_SCHEMAS,WWV_FLOW_COMP_SCHEMAS_FK,SECURITY_GROUP_ID,1,APEX_030200,WWV_FLOW_COMPANIES,PROVISIONING_COMPANY_ID,CASCADE
APEX_030200,WWV_FLOW_COMPOUND_CONDITIONS,WWV_FLOW_COMP_COND_FK,FLOW_ID,1,APEX_030200,WWV_FLOWS,ID,CASCADE
APEX_030200,WWV_FLOW_COMPUTATIONS,WWV_FLOW_COMPUTATIONS_FK,FLOW_ID,1,APEX_030200,WWV_FLOWS,ID,CASCADE
APEX_030200,WWV_FLOW_CSS_REPOSITORY,WWV_FLOW_CSS_REP_FK,SECURITY_GROUP_ID,1,APEX_030200,WWV_FLOW_COMPANIES,PROVISIONING_COMPANY_ID,CASCADE
APEX_030200,WWV_FLOW_CUSTOM_AUTH_SETUPS,WWV_FLOW_AUTH_SETUPS_FK,FLOW_ID,1,APEX_030200,WWV_FLOWS,ID,CASCADE
APEX_030200,WWV_FLOW_DATA,WWV_FLOW_DATA_FK,FLOW_INSTANCE,1,APEX_030200,WWV_FLOW_SESSIONS$,ID,CASCADE
