
'OWNER'||','||'TRIGGER_NAME'||','||'TABLE_OWNER'||','||'TABLE_NAME'||','||'TRI
OWNER,TRIGGER_NAME,TABLE_OWNER,TABLE_NAME,TRIGGER_TYPE,TRIGGERING_EVENT,STATUS
ACTS,ACTS_S_MAINT4_TRG,ACTS,ACTS_S_MAINT4,BEFORE EACH ROW,INSERT,ENABLED
ACTS,ACTS_S_MAINT5_TRG,ACTS,ACTS_S_MAINT5,BEFORE EACH ROW,INSERT,ENABLED
ACTS,ACTS_S_MAINT6_TRG,ACTS,ACTS_S_MAINT6,BEFORE EACH ROW,INSERT,ENABLED
ACTS,ACTS_S_MAINT7_TRG,ACTS,ACTS_S_MAINT7,BEFORE EACH ROW,INSERT,ENABLED
ACTS,ACTS_S_MAINT8_TRG,ACTS,ACTS_S_MAINT8,BEFORE EACH ROW,INSERT,ENABLED
ACTS,ACTS_S_MAINT_REC_TRG,ACTS,ACTS_S_MAINT_REC,BEFORE EACH ROW,INSERT,ENABLED
ACTS,ACTS_S_PMC_LIM_TRG,ACTS,ACTS_S_PMC_LIM,BEFORE EACH ROW,INSERT,ENABLED
ACTS,ACTS_S_SORTIE_TRG,ACTS,ACTS_S_SORTIE,BEFORE EACH ROW,INSERT,ENABLED
ACTS,ACTS_S_SYS_CONFIG_TRG,ACTS,ACTS_S_SYS_CONFIG,BEFORE EACH ROW,INSERT,ENABLED
ACTS,ACTS_S_SYS_CONFIG_HIST_TRG,ACTS,ACTS_S_SYS_CONFIG_HIST,BEFORE EACH ROW,INSERT,ENABLED
ACTS,ACTS_S_SYS_INV_TRG,ACTS,ACTS_S_SYS_INV,BEFORE EACH ROW,INSERT,ENABLED
ACTS,ACTS_S_SYS_MOD_TRG,ACTS,ACTS_S_SYS_MOD,BEFORE EACH ROW,INSERT,ENABLED
ACTS,ACTS_S_TEST_TRG,ACTS,ACTS_S_TEST,BEFORE EACH ROW,INSERT,ENABLED
ACTS,ACTS_S_TIME_TRG,ACTS,ACTS_S_TIME,BEFORE EACH ROW,INSERT,ENABLED
ACTS,ACTS_TEST_DICT_TRG,ACTS,ACTS_TEST_DICT,BEFORE EACH ROW,INSERT,ENABLED
ACTS,ACTS_TEST_DICT_UPDATE,ACTS,ACTS_TEST_DICT,AFTER EACH ROW,INSERT OR UPDATE OR DELETE,ENABLED
ACTS,ACTS_TRANSFER_LOG_TRG,ACTS,ACTS_TRANSFER_LOG,BEFORE EACH ROW,INSERT,ENABLED
ACTS,ACTS_T_BASE_DICT_TRG,ACTS,ACTS_T_BASE_DICT,BEFORE EACH ROW,INSERT,ENABLED
ACTS,ACTS_T_MAINT1_TRG,ACTS,ACTS_T_MAINT1,BEFORE EACH ROW,INSERT,ENABLED
ACTS,ACTS_T_MAINT2_TRG,ACTS,ACTS_T_MAINT2,BEFORE EACH ROW,INSERT,ENABLED
ACTS,ACTS_T_MAINT3_TRG,ACTS,ACTS_T_MAINT3,BEFORE EACH ROW,INSERT,ENABLED
ACTS,ACTS_T_MAINT4_TRG,ACTS,ACTS_T_MAINT4,BEFORE EACH ROW,INSERT,ENABLED
ACTS,ACTS_T_MAINT5_TRG,ACTS,ACTS_T_MAINT5,BEFORE EACH ROW,INSERT,ENABLED
ACTS,ACTS_T_MAINT6_TRG,ACTS,ACTS_T_MAINT6,BEFORE EACH ROW,INSERT,ENABLED
ACTS,ACTS_T_MAINT7_TRG,ACTS,ACTS_T_MAINT7,BEFORE EACH ROW,INSERT,ENABLED
ACTS,ACTS_T_MAINT8_TRG,ACTS,ACTS_T_MAINT8,BEFORE EACH ROW,INSERT,ENABLED
ACTS,ACTS_T_MAINT_REC_TRG,ACTS,ACTS_T_MAINT_REC,BEFORE EACH ROW,INSERT,ENABLED
ACTS,ACTS_T_MAINT_TRACK_TRG,ACTS,ACTS_T_MAINT_TRACK,BEFORE EACH ROW,INSERT,ENABLED
ACTS,ACTS_T_PMC_LIM_TRG,ACTS,ACTS_T_PMC_LIM,BEFORE EACH ROW,INSERT,ENABLED
ACTS,ACTS_T_SORTIE_TRG,ACTS,ACTS_T_SORTIE,BEFORE EACH ROW,INSERT,ENABLED
ACTS,ACTS_T_SYS_CONFIG_TRG,ACTS,ACTS_T_SYS_CONFIG,BEFORE EACH ROW,INSERT,ENABLED
ACTS,ACTS_T_SYS_CONFIG_HIST_TRG,ACTS,ACTS_T_SYS_CONFIG_HIST,BEFORE EACH ROW,INSERT,ENABLED
ACTS,ACTS_T_SYS_INV_TRG,ACTS,ACTS_T_SYS_INV,BEFORE EACH ROW,INSERT,ENABLED
ACTS,ACTS_T_SYS_MOD_TRG,ACTS,ACTS_T_SYS_MOD,BEFORE EACH ROW,INSERT,ENABLED
ACTS,ACTS_T_TEST_TRG,ACTS,ACTS_T_TEST,BEFORE EACH ROW,INSERT,ENABLED
ACTS,ACTS_T_TIME_TRG,ACTS,ACTS_T_TIME,BEFORE EACH ROW,INSERT,ENABLED
ACTS,ACTS_UPLOADS_TRG,ACTS,ACTS_UPLOADS,BEFORE EACH ROW,INSERT,ENABLED
ACTS,ACTS_UPLOADS_HIST_TRG,ACTS,ACTS_UPLOADS_HIST,BEFORE EACH ROW,INSERT,ENABLED
ACTS,ACTS_PROCESSING_START,ACTS,ACTS_VALIDATOR_STATUS,AFTER EACH ROW,INSERT,ENABLED
ACTS,ACTS_VALIDATOR_STATUS_TRG,ACTS,ACTS_VALIDATOR_STATUS,BEFORE EACH ROW,INSERT,ENABLED
ACTS,CONFIG131TEMP_TRG,ACTS,CONFIG131TEMP,BEFORE EACH ROW,INSERT,ENABLED
ACTS,IMDS_CONFIG131_TRG,ACTS,IMDS_CONFIG131,BEFORE EACH ROW,INSERT,ENABLED
ACTS,IMDS_CONFIG184_TRG,ACTS,IMDS_CONFIG184,BEFORE EACH ROW,INSERT,ENABLED
AGGREGATE,ADPE_BUILDING_TRG,AGGREGATE,ADPE_BUILDING,BEFORE EACH ROW,INSERT OR UPDATE OR DELETE,ENABLED
AGGREGATE,ADPE_EMPLOYEE_TRG,AGGREGATE,ADPE_EMPLOYEE,BEFORE EACH ROW,INSERT OR UPDATE OR DELETE,ENABLED
AGGREGATE,ADPE_HARDWARE_TRG,AGGREGATE,ADPE_HARDWARE,BEFORE EACH ROW,INSERT OR UPDATE OR DELETE,ENABLED
AGGREGATE,ADPE_HW_SW_TRG,AGGREGATE,ADPE_HW_SW,BEFORE EACH ROW,INSERT OR UPDATE OR DELETE,ENABLED
AGGREGATE,ADPE_SOFTWARE_TRG,AGGREGATE,ADPE_SOFTWARE,BEFORE EACH ROW,INSERT OR UPDATE OR DELETE,ENABLED
AGGREGATE,AGG_APP_TRG,AGGREGATE,AGG_APP,BEFORE EACH ROW,INSERT OR UPDATE OR DELETE,ENABLED
AGGREGATE,AGG_APP_EMAIL_TRG,AGGREGATE,AGG_APP_EMAIL,BEFORE EACH ROW,INSERT OR UPDATE OR DELETE,ENABLED
