
'OWNER'||','||'TABLE_NAME'||','||'CONSTRAINT_NAME'||'
OWNER,TABLE_NAME,CONSTRAINT_NAME,COLUMN_NAME,POSITION
AGGREGATE,ADPE_BUILDING,UNQ_BLDGRM,ROOM_NO,2
AGGREGATE,AGG_AUTHORIZED,UQ_AAUTH,AUTH_LOC_ID,1
AGGREGATE,AGG_AUTHORIZED,UQ_AAUTH,AUTH_TYPE,2
AGGREGATE,AGG_AUTHORIZED,UQ_AAUTH,MDS_CODE_ID,3
AGGREGATE,AGG_AUTHORIZED,UQ_AAUTH,SYS_ID,4
AGGREGATE,AGG_LOC_PRIV,UNQ_LOCPRIV_LOC_CODE,USER_NAME,1
AGGREGATE,AGG_LOC_PRIV,UNQ_LOCPRIV_LOC_CODE,APP_NAME,2
AGGREGATE,AGG_LOC_PRIV,UNQ_LOCPRIV_LOC_CODE,SUB_APP,3
AGGREGATE,AGG_LOC_PRIV,UNQ_LOCPRIV_LOC_CODE,LOC_ID,4
AGGREGATE,AGG_LOC_PRIV,UNQ_LOCPRIV_LOC_CODE,CODE_ID,5
AGGREGATE,AGG_USER,UNQ_AGGUSER_ID,USER_ID,1
AGGREGATE,AGG_USER_PRIV,UNQ_AUPRIV_USRPRIV,USER_NAME,1
AGGREGATE,AGG_USER_PRIV,UNQ_AUPRIV_USRPRIV,APP_NAME,2
AGGREGATE,AGG_USER_PRIV,UNQ_AUPRIV_USRPRIV,PRIV,3
AGGREGATE,AGG_USER_PRIV,UNQ_AUPRIV_USRPRIV,SUB_APP,4
AGGREGATE,CODE,UNQ_CODE_TYPEVAL,CODE_TYPE,1
AGGREGATE,CODE,UNQ_CODE_TYPEVAL,CODE_VALUE,2
AGGREGATE,PRIV_GROUP,UNQ_PRVGRP_NAME,GROUP_NAME,1
AGGREGATE,PRIV_LIST,UNQ_PRVLIST_NAME,PRIV_NAME,1
AGGREGATE,RDR_ACTION,UNQ_RDR_ACTION,ACTION_NAME,1
AGGREGATE,UII_ASSETS,UQ_UIIAST,UII,1
AGGREGATE,USER_LISTING,UNIQUE_USER_LIST_RECORD,USER_NAME,1
AGGREGATE,USER_LISTING,UNIQUE_USER_LIST_RECORD,REPORT_DATE,2
AGGREGATE,USER_PERMISSIONS,UNIQUE_USER_PERM_RECORD,USER_NAME,1
AGGREGATE,USER_PERMISSIONS,UNIQUE_USER_PERM_RECORD,PERMISSION_NAME,2
AGGREGATE,USER_PERMISSIONS,UNIQUE_USER_PERM_RECORD,PARENT_PERMISSION,3
AGGREGATE,USER_PERMISSIONS,UNIQUE_USER_PERM_RECORD,REPORT_DATE,4
APEX_030200,WWV_FLOW_COLLECTIONS$,WWV_FLOW_COLLECTIONS_UK,SESSION_ID,1
APEX_030200,WWV_FLOW_COLLECTIONS$,WWV_FLOW_COLLECTIONS_UK,USER_ID,2
APEX_030200,WWV_FLOW_COLLECTIONS$,WWV_FLOW_COLLECTIONS_UK,FLOW_ID,3
APEX_030200,WWV_FLOW_COLLECTIONS$,WWV_FLOW_COLLECTIONS_UK,COLLECTION_NAME,4
APEX_030200,WWV_FLOW_COLLECTIONS$,WWV_FLOW_COLLECTIONS_UK,SECURITY_GROUP_ID,5
APEX_030200,WWV_FLOW_COMPANIES,SYS_C0018606,PROVISIONING_COMPANY_ID,1
APEX_030200,WWV_FLOW_FND_USER,WWV_FLOW_FND_USER_PK,USER_ID,1
APEX_030200,WWV_FLOW_HNT_ARGUMENT_INFO,WWV_FLOW_HNT_ARG_INFO_UK,PROCEDURE_ID,1
APEX_030200,WWV_FLOW_HNT_ARGUMENT_INFO,WWV_FLOW_HNT_ARG_INFO_UK,ARGUMENT_NAME,2
APEX_030200,WWV_FLOW_HNT_COLUMN_INFO,WWV_FLOW_HNT_COLUMN_INFO_UK,TABLE_ID,1
APEX_030200,WWV_FLOW_HNT_COLUMN_INFO,WWV_FLOW_HNT_COLUMN_INFO_UK,COLUMN_NAME,2
APEX_030200,WWV_FLOW_HNT_PROCEDURE_INFO,WWV_FLOW_HNT_PROC_INFO_UK,SCHEMA,1
APEX_030200,WWV_FLOW_HNT_PROCEDURE_INFO,WWV_FLOW_HNT_PROC_INFO_UK,PROCEDURE_NAME,2
APEX_030200,WWV_FLOW_HNT_TABLE_INFO,WWV_FLOW_HNT_TABLE_INFO_UK,SCHEMA,1
APEX_030200,WWV_FLOW_HNT_TABLE_INFO,WWV_FLOW_HNT_TABLE_INFO_UK,TABLE_NAME,2
APEX_030200,WWV_FLOW_PLATFORM_PREF,SYS_C0019134,NAME,1
APEX_030200,WWV_FLOW_UPG_TAB_NAME_CHANGES,WWV_FLOW_UPG_TAB_NAME_CHNG_UK,NEW_TABLE_NAME,1
APEX_030200,WWV_FLOW_WORKSHEET_COLUMNS,WWV_FLOW_WORKSHEET_COLUMNS_UK2,WORKSHEET_ID,1
APEX_030200,WWV_FLOW_WORKSHEET_COLUMNS,WWV_FLOW_WORKSHEET_COLUMNS_UK2,DB_COLUMN_NAME,2
APEX_030200,WWV_FLOW_WORKSHEET_COL_GROUPS,WWV_FLOW_WORKSHEET_COL_GRPS_UK,WORKSHEET_ID,1
APEX_030200,WWV_FLOW_WORKSHEET_COL_GROUPS,WWV_FLOW_WORKSHEET_COL_GRPS_UK,NAME,2
APEX_030200,WWV_FLOW_WORKSHEET_COMPUTATION,WWV_FLOW_WS_COMP_COLS_UK,REPORT_ID,1
APEX_030200,WWV_FLOW_WORKSHEET_COMPUTATION,WWV_FLOW_WS_COMP_COLS_UK,DB_COLUMN_NAME,2
APEX_030200,WWV_FLOW_WORKSHEET_COMPUTATION,WWV_FLOW_WS_COMP_COLS_UK2,REPORT_ID,1
APEX_030200,WWV_FLOW_WORKSHEET_COMPUTATION,WWV_FLOW_WS_COMP_COLS_UK2,COLUMN_IDENTIFIER,2
APEX_030200,WWV_FLOW_WORKSHEET_LOVS,WWV_FLOW_WORKSHEET_LOVS_UK,WORKSHEET_ID,1
APEX_030200,WWV_FLOW_WORKSHEET_LOVS,WWV_FLOW_WORKSHEET_LOVS_UK,NAME,2
APEX_030200,WWV_FLOW_WORKSHEET_LOV_ENTRIES,WWV_FLOW_WS_LOV_ENTS_UK,LOV_ID,1
APEX_030200,WWV_FLOW_WORKSHEET_LOV_ENTRIES,WWV_FLOW_WS_LOV_ENTS_UK,ENTRY_TEXT,2
APEX_030200,WWV_MIG_ACCESS,SYS_C0019952,DBID,1
APEX_030200,WWV_MIG_ACCESS,WWV_MIG_ACCESS_UK1,PROJECT_ID,1
APEX_030200,WWV_MIG_ACCESS,WWV_MIG_ACCESS_UK1,DBID,2
APEX_030200,WWV_MIG_ACC_FORMS,WWV_MIG_ACC_FORMS_UK1,PROJECT_ID,1
APEX_030200,WWV_MIG_ACC_FORMS,WWV_MIG_ACC_FORMS_UK1,DBID,2
APEX_030200,WWV_MIG_ACC_FORMS,WWV_MIG_ACC_FORMS_UK1,FORMID,3
APEX_030200,WWV_MIG_ACC_GROUPS,WWV_MIG_ACC_GROUPS_UK1,PROJECT_ID,1
