
'OWNER'||','||'TABLE_NAME'||','||'TABLESPACE_NAME'||','||'NUM_RO
OWNER,TABLE_NAME,TABLESPACE_NAME,NUM_ROWS,LAST_ANALYZED,COMMENTS

T.OWNER||','||T.TABLE_NAME||','||NVL(T.TABLESPACE_NAME,'NULL')||','||NVL(TO_CHAR(T.NUM_ROWS),'NULL')||','||NVL(TO_CHAR(T.LAST_ANALYZED,'YYYY-MM-DDHH24:MI:SS'),'NULL')||','||'"'||REPLACE(NVL(C.COMMENT
ACTS,ACTS_S_MAINT5,ACTS_TBS,1,2022-07-27 22:04:31,""
ACTS,ACTS_S_MAINT6,ACTS_TBS,0,2013-06-20 13:29:49,""
ACTS,ACTS_S_MAINT7,ACTS_TBS,0,2013-06-20 13:29:50,""
ACTS,ACTS_S_MAINT8,ACTS_TBS,0,2013-06-20 13:29:50,""
ACTS,ACTS_S_MAINT_REC,ACTS_TBS,18219,2024-10-03 22:01:41,""
ACTS,ACTS_S_PMC_LIM,ACTS_TBS,15,2022-07-27 22:04:31,""
ACTS,ACTS_S_RNG_CAPABILITY,ACTS_TBS,0,2013-06-20 13:29:50,""
ACTS,ACTS_S_RNG_INFO,ACTS_TBS,0,2013-06-20 13:29:50,""
ACTS,ACTS_S_SORTIE,ACTS_TBS,233083,2022-07-27 22:04:52,""
ACTS,ACTS_S_SYS_CONFIG,ACTS_TBS,1624,2023-04-24 22:01:21,""
ACTS,ACTS_S_SYS_CONFIG_HIST,ACTS_TBS,2012,2025-09-16 22:01:40,""
ACTS,ACTS_S_SYS_INV,ACTS_TBS,16788,2024-04-10 22:03:28,""
ACTS,ACTS_S_SYS_MOD,ACTS_TBS,1055,2022-07-27 22:04:32,""
ACTS,ACTS_S_SYS_PMI,ACTS_TBS,4218,2022-07-27 22:04:34,""
ACTS,ACTS_S_SYS_SOFTWARE,ACTS_TBS,88,2022-07-27 22:04:38,""
ACTS,ACTS_S_TEST,ACTS_TBS,11692,2022-07-27 22:04:38,""
ACTS,ACTS_S_TIME,ACTS_TBS,0,2013-06-20 13:29:52,""
ACTS,ACTS_S_TIS_RADIO,ACTS_TBS,0,2013-06-20 13:29:52,""
ACTS,ACTS_TEST_DICT,ACTS_TBS,359,2022-08-05 22:03:15,""
ACTS,ACTS_TRANSFER_LOG,ACTS_TBS,51,2022-07-27 22:04:31,""
ACTS,ACTS_T_BASE_DICT,ACTS_TBS,264,2022-07-27 22:04:42,""
ACTS,ACTS_T_EQP_SCHED,ACTS_TBS,0,2013-06-20 13:29:52,""
ACTS,ACTS_T_MAINT1,ACTS_TBS,18384,2025-04-28 22:01:23,""
ACTS,ACTS_T_MAINT2,ACTS_TBS,1581,2022-08-05 22:03:22,""
ACTS,ACTS_T_MAINT3,ACTS_TBS,222,2022-08-05 22:03:19,""
ACTS,ACTS_T_MAINT4,ACTS_TBS,70,2022-08-05 22:03:19,""
ACTS,ACTS_T_MAINT5,ACTS_TBS,1,2022-08-05 22:03:16,""
ACTS,ACTS_T_MAINT6,ACTS_TBS,0,2013-06-20 13:29:54,""
ACTS,ACTS_T_MAINT7,ACTS_TBS,0,2013-06-20 13:29:54,""
ACTS,ACTS_T_MAINT8,ACTS_TBS,0,2013-06-20 13:29:54,""
ACTS,ACTS_T_MAINT_REC,ACTS_TBS,21972,2022-08-05 22:03:27,""
ACTS,ACTS_T_MAINT_TRACK,ACTS_TBS,0,2013-06-20 13:29:54,""
ACTS,ACTS_T_PMC_LIM,ACTS_TBS,16,2022-07-27 22:04:31,""
ACTS,ACTS_T_RNG_CAPABILITY,ACTS_TBS,0,2013-06-20 13:29:54,""
ACTS,ACTS_T_RNG_INFO,ACTS_TBS,0,2013-06-20 13:29:54,""
ACTS,ACTS_T_SORTIE,ACTS_TBS,234107,2022-07-27 22:04:54,""
ACTS,ACTS_T_SYS_CONFIG,ACTS_TBS,1897,2022-08-05 22:03:20,""
ACTS,ACTS_T_SYS_CONFIG_HIST,ACTS_TBS,2416,2022-07-27 22:04:39,""
ACTS,ACTS_T_SYS_INV,ACTS_TBS,20301,2022-07-27 22:04:50,""
ACTS,ACTS_T_SYS_MOD,ACTS_TBS,1077,2022-07-27 22:04:32,""
ACTS,ACTS_T_SYS_PMI,ACTS_TBS,4433,2022-07-27 22:04:35,""
ACTS,ACTS_T_SYS_SOFTWARE,ACTS_TBS,88,2022-07-27 22:04:39,""
ACTS,ACTS_T_TEST,ACTS_TBS,12966,2022-07-27 22:04:40,""
ACTS,ACTS_T_TIME,ACTS_TBS,13144,2022-08-05 22:03:21,""
ACTS,ACTS_T_TIS_RADIO,ACTS_TBS,0,2013-06-20 13:29:56,""
ACTS,ACTS_UPLOADS,ACTS_TBS,99,2022-08-05 22:03:16,""
ACTS,ACTS_UPLOADS_HIST,ACTS_TBS,222,2022-07-27 22:04:31,""
ACTS,ACTS_VALIDATOR_STATUS,ACTS_TBS,169,2022-08-05 22:03:16,""
ACTS,CONFIG131,ACTS_TBS,2374,2022-07-27 22:04:33,""
ACTS,CONFIG131TEMP,ACTS_TBS,2374,2022-07-27 22:04:34,""
ACTS,CONFIG184,ACTS_TBS,1797,2022-08-05 22:03:17,""
ACTS,IMDS_CONFIG131,ACTS_TBS,2370,2022-08-05 22:03:17,""
ACTS,IMDS_CONFIG184,ACTS_TBS,1786,2022-07-27 22:04:34,""
ACTS,MAXIMO_LOCATIONS,ACTS_TBS,11,2022-07-27 22:04:31,"TRANSLATION TABLE FOR MAXIMO LOCATION SITE CODES"
ACTS,MAXIN_EQTRANS,ACTS_TBS,2166,2013-06-20 13:39:22,""
ACTS,MAXIN_MAINT,ACTS_TBS,9183,2013-06-20 13:39:22,""
ACTS,MAXIN_MAINT_REC,ACTS_TBS,19455,2013-06-20 13:39:22,""
ACTS,MAXIN_SORTIE,ACTS_TBS,16730,2013-06-20 13:39:23,""
ACTS,MAXIN_TIME,ACTS_TBS,9486,2013-06-20 13:39:23,""
ACTS,MAXOUT_CFG,ACTS_TBS,0,2013-06-20 13:39:23,""
ACTS,MAXOUT_CFG_HIST,ACTS_TBS,10162,2022-07-27 22:04:41,""
ACTS,MAXOUT_CFG_LOG,ACTS_TBS,5666,2022-08-05 22:03:17,""
ACTS,MAXOUT_INV,ACTS_TBS,0,2013-06-20 13:39:24,""
ACTS,MAXOUT_INV_HIST,ACTS_TBS,15853,2022-08-05 22:03:23,""
ACTS,MAXOUT_INV_LOG,ACTS_TBS,676,2022-08-05 22:03:16,""
ACTS,MAXOUT_MAINT,ACTS_TBS,0,2013-06-20 13:39:24,"The MAXOUT_MAINT table records maintenance events (inserts, updates, and deletes) for assets relevant to the MAXIMO interface"
ACTS,MAXOUT_MAINT_HIST,ACTS_TBS,194,2022-07-27 22:04:33,"The MAXOUT_MAINT_HIST is the history table for MAXOUT_MAINT.  All changes to a record are recorded here."
ACTS,MAXOUT_MAINT_LOG,ACTS_TBS,149,2022-08-05 22:03:16,""
ACTS,MAXOUT_SW,ACTS_TBS,0,2013-06-20 13:39:24,""
ACTS,MAXOUT_SW_HIST,ACTS_TBS,4491,2022-08-05 22:03:20,""
ACTS,MAXOUT_SW_LOG,ACTS_TBS,3395,2022-08-05 22:03:17,""
ACTS,MAXOUT_TCTO,ACTS_TBS,0,2013-06-20 13:39:24,""
ACTS,MAXOUT_TCTO_HIST,ACTS_TBS,1314,2022-07-27 22:04:34,""
ACTS,MAXOUT_TCTO_LOG,ACTS_TBS,1302,2022-07-27 22:04:33,""
ACTS,P5_ADJ_MTBF,ACTS_TBS,3,2022-07-27 22:04:32,""
ACTS,SITEINFO,ACTS_TBS,28,2022-07-27 22:04:32,""
ACTS,TEST2,ACTS_TBS,26,2013-06-20 13:44:24,""
ACTS,TEST_TRANS_MAINT_REC,ACTS_TBS,122080,2022-08-05 22:03:34,""
AGGREGATE,ADPE_BLDG_ORG,INVENTORY_TBS,10,2021-11-01 22:02:20,"BUILDING TO ORGANIZATION RELATIONSHIPS"
AGGREGATE,ADPE_BUILDING,INVENTORY_TBS,53,2025-05-05 22:01:53,"BUILDINGS AND ROOM NUMBERS"
AGGREGATE,ADPE_EMPLOYEE,INVENTORY_TBS,17,2025-05-06 22:01:16,"RAMPOD ADPE EMPLOYEE LISTING"
AGGREGATE,ADPE_HARDWARE,INVENTORY_TBS,760,2025-08-09 14:02:49,"RECORD OF HARDWARE DEVICES"
AGGREGATE,ADPE_HW_SW,INVENTORY_TBS,7,2021-07-29 22:01:54,"This table records associations between Hardware and Software"
AGGREGATE,ADPE_SOFTWARE,INVENTORY_TBS,32,2024-05-13 22:00:14,"List of Software products"
AGGREGATE,AGG_APP,INVENTORY_TBS,9,2021-11-09 22:00:34,""
AGGREGATE,AGG_APP_EMAIL,INVENTORY_TBS,9,2022-07-29 22:04:02,""
AGGREGATE,AGG_AUDIT_LOG,INVENTORY_TBS,1657,2022-07-28 22:09:38,""
AGGREGATE,AGG_AUTHORIZED,INVENTORY_TBS,93,2022-07-29 22:04:02,""
AGGREGATE,AGG_AUTHORIZED_HIST,INVENTORY_TBS,195,2023-10-10 22:02:16,""
AGGREGATE,AGG_EMAIL_MSG,INVENTORY_TBS,10,2022-07-29 22:04:02,""
AGGREGATE,AGG_ERROR_LOG,INVENTORY_TBS,174381553,2021-09-14 22:15:24,""
AGGREGATE,AGG_INV_ASSETS,INVENTORY_TBS,0,2013-06-20 13:30:05,""
AGGREGATE,AGG_INV_ASSETS_HIST,INVENTORY_TBS,0,2013-06-20 13:30:05,""
