
'SEQUENCE_OWNER'||','||'SEQUENCE_NAME'||','||'MIN_VALUE'||','||'MAX_VALUE'||','||'INCREMENT_BY'
SEQUENCE_OWNER,SEQUENCE_NAME,MIN_VALUE,MAX_VALUE,INCREMENT_BY,CYCLE_FLAG,CACHE_SIZE,LAST_NUMBER

SEQUENCE_OWNER||','||SEQUENCE_NAME||','||MIN_VALUE||','||MAX_VALUE||','||INCREMENT_BY||','||CYCLE_FLAG||','||CACHE_SIZE||','||LAST_NUMBER
ACTS,ACTS_SYS_SUMMARY_METRICS_SEQ,1,999999999999999999999999999,1,N,20,63822
ACTS,ACTS_S_BASE_DICT_SEQ,1,999999999999999999999999999,1,N,20,1356
ACTS,ACTS_S_MAINT1_SEQ,1,999999999999999999999999999,1,N,20,56611
ACTS,ACTS_S_MAINT1_TEMP_SEQ,1,999999999999999999999999999,1,N,20,4381
ACTS,ACTS_S_MAINT2_SEQ,1,999999999999999999999999999,1,N,20,5618
ACTS,ACTS_S_MAINT2_TEMP_SEQ,1,999999999999999999999999999,1,N,20,381
ACTS,ACTS_S_MAINT3_SEQ,1,999999999999999999999999999,1,N,20,1720
ACTS,ACTS_S_MAINT3_TEMP_SEQ,1,999999999999999999999999999,1,N,20,281
ACTS,ACTS_S_MAINT4_SEQ,1,999999999999999999999999999,1,N,20,883
ACTS,ACTS_S_MAINT4_TEMP_SEQ,1,999999999999999999999999999,1,N,20,41
ACTS,ACTS_S_MAINT5_SEQ,1,999999999999999999999999999,1,N,20,42
ACTS,ACTS_S_MAINT6_SEQ,1,999999999999999999999999999,1,N,20,21
ACTS,ACTS_S_MAINT7_SEQ,1,999999999999999999999999999,1,N,20,1
ACTS,ACTS_S_MAINT8_SEQ,1,999999999999999999999999999,1,N,20,1
ACTS,ACTS_S_MAINT_REC_SEQ,1,999999999999999999999999999,1,N,20,58196
ACTS,ACTS_S_PMC_LIM_SEQ,1,999999999999999999999999999,1,N,20,596
ACTS,ACTS_S_SORTIE_SEQ,1,999999999999999999999999999,1,N,20,473679
ACTS,ACTS_S_SORTIE_TEMP_SEQ,1,999999999999999999999999999,1,N,20,1
ACTS,ACTS_S_SYS_CONFIG_HIST_SEQ,1,999999999999999999999999999,1,N,20,21564
