
'OWNER'||','||'INDEX_NAME'||','||'TABLE_OWNER'||','||'TABLE_NAME'||','||'UNIQUENESS'||','||'INDEX
OWNER,INDEX_NAME,TABLE_OWNER,TABLE_NAME,UNIQUENESS,INDEX_TYPE,COLUMN_NAME,COLUMN_POSITION,DESCEND

I.OWNER||','||I.INDEX_NAME||','||I.TABLE_OWNER||','||I.TABLE_NAME||','||I.UNIQUENESS||','||I.INDEX_TYPE||','||IC.COLUMN_NAME||','||IC.COLUMN_POSITION||','||IC.DESCEND
ACTS,IDX_DMNTREC_SYSPNSN,ACTS,ACTS_D_MAINT_REC,NONUNIQUE,NORMAL,PARTNO,2,ASC
ACTS,IDX_DMNTREC_SYSPNSN,ACTS,ACTS_D_MAINT_REC,NONUNIQUE,NORMAL,SERNO,3,ASC
ACTS,PK_ACTS_D_MAINT_REC,ACTS,ACTS_D_MAINT_REC,UNIQUE,NORMAL,DUMMY_PK,1,ASC
ACTS,PK_ACTS_D_MAINT_REC_HIST,ACTS,ACTS_D_MAINT_REC_HIST,UNIQUE,NORMAL,DUMMY_PK,1,ASC
ACTS,PK_ACTS_D_MAINT_REC_HIST,ACTS,ACTS_D_MAINT_REC_HIST,UNIQUE,NORMAL,HIST_DATE,2,ASC
ACTS,ACTS_D_MAINT_TRACK_UQ,ACTS,ACTS_D_MAINT_TRACK,UNIQUE,NORMAL,INSTALL_JOB_ID,1,ASC
ACTS,ACTS_D_MAINT_TRACK_UQ,ACTS,ACTS_D_MAINT_TRACK,UNIQUE,NORMAL,PARTNO,2,ASC
ACTS,ACTS_D_MAINT_TRACK_UQ,ACTS,ACTS_D_MAINT_TRACK,UNIQUE,NORMAL,REM_JOB_ID,3,ASC
ACTS,ACTS_D_MAINT_TRACK_UQ,ACTS,ACTS_D_MAINT_TRACK,UNIQUE,NORMAL,SERNO,4,ASC
ACTS,PK_ACTS_D_MAINT_TRACK,ACTS,ACTS_D_MAINT_TRACK,UNIQUE,NORMAL,DUMMY_PK,1,ASC
ACTS,PK_ACTS_D_PART_INV,ACTS,ACTS_D_PART_INV,UNIQUE,NORMAL,PART_ID,1,ASC
ACTS,UQ_ACTS_D_PART_INV,ACTS,ACTS_D_PART_INV,UNIQUE,NORMAL,SERNO,1,ASC
ACTS,UQ_ACTS_D_PART_INV,ACTS,ACTS_D_PART_INV,UNIQUE,NORMAL,PARTNO,2,ASC
ACTS,UQ_ACTS_D_PART_INV_HIST,ACTS,ACTS_D_PART_INV_HIST,UNIQUE,NORMAL,PART_ID,1,ASC
ACTS,UQ_ACTS_D_PART_INV_HIST,ACTS,ACTS_D_PART_INV_HIST,UNIQUE,NORMAL,HIST_DATE,2,ASC
ACTS,ACTS_D_PMC_LIM_UQ,ACTS,ACTS_D_PMC_LIM,UNIQUE,NORMAL,SERNO,1,ASC
ACTS,PK_ACTS_D_PMC_LIM,ACTS,ACTS_D_PMC_LIM,UNIQUE,NORMAL,DUMMY_PK,1,ASC
ACTS,PK_D_RNG_CAP,ACTS,ACTS_D_RNG_CAPABILITY,UNIQUE,NORMAL,RNG_NAME,1,ASC
ACTS,PK_D_RNG_CAP,ACTS,ACTS_D_RNG_CAPABILITY,UNIQUE,NORMAL,RNG_LOC,2,ASC
ACTS,PK_D_RNG_CAP,ACTS,ACTS_D_RNG_CAPABILITY,UNIQUE,NORMAL,CAP_TYPE,3,ASC
ACTS,PK_D_RNG_CAP,ACTS,ACTS_D_RNG_CAPABILITY,UNIQUE,NORMAL,CAP_NAME,4,ASC
ACTS,PK_D_RNG_INFO,ACTS,ACTS_D_RNG_INFO,UNIQUE,NORMAL,NAME,1,ASC
ACTS,PK_D_RNG_INFO,ACTS,ACTS_D_RNG_INFO,UNIQUE,NORMAL,HOST,2,ASC
ACTS,PK_ACTS_D_SEQ_LOG,ACTS,ACTS_D_SEQ_LOG,UNIQUE,NORMAL,SEQ_ID,1,ASC
ACTS,UQ_ACTS_D_SEQ_LOG,ACTS,ACTS_D_SEQ_LOG,UNIQUE,NORMAL,BASE,1,ASC
ACTS,UQ_ACTS_D_SEQ_LOG,ACTS,ACTS_D_SEQ_LOG,UNIQUE,NORMAL,UNIT,2,ASC
ACTS,UQ_ACTS_D_SEQ_LOG,ACTS,ACTS_D_SEQ_LOG,UNIQUE,NORMAL,PROGRAM,3,ASC
ACTS,ACTS_D_SORTIE_UQ,ACTS,ACTS_D_SORTIE,UNIQUE,NORMAL,AC_TAILNO,1,ASC
ACTS,ACTS_D_SORTIE_UQ,ACTS,ACTS_D_SORTIE,UNIQUE,NORMAL,MISSION_ID,2,ASC
ACTS,ACTS_D_SORTIE_UQ,ACTS,ACTS_D_SORTIE,UNIQUE,NORMAL,SERNO,3,ASC
ACTS,PK_ACTS_D_SORTIE,ACTS,ACTS_D_SORTIE,UNIQUE,NORMAL,DUMMY_PK,1,ASC
ACTS,SORTIE_IDX,ACTS,ACTS_D_SORTIE,NONUNIQUE,NORMAL,MISSION_ID,1,ASC
ACTS,SORTIE_IDX,ACTS,ACTS_D_SORTIE,NONUNIQUE,NORMAL,AC_TAILNO,2,ASC
ACTS,SORTIE_IDX,ACTS,ACTS_D_SORTIE,NONUNIQUE,NORMAL,SERNO,3,ASC
ACTS,PK_ACTS_D_SPARES,ACTS,ACTS_D_SPARES,UNIQUE,NORMAL,SPARES_ID,1,ASC
ACTS,UQ_ACTS_D_SPARES,ACTS,ACTS_D_SPARES,UNIQUE,NORMAL,SPARE_PARTNO,1,ASC
ACTS,UQ_ACTS_D_SPARES,ACTS,ACTS_D_SPARES,UNIQUE,NORMAL,SPARE_SERNO,2,ASC
ACTS,PK_ACTS_D_SYS_CONFIG,ACTS,ACTS_D_SYS_CONFIG,UNIQUE,NORMAL,DUMMY_PK,1,ASC
ACTS,UQ_ACTS_D_SYS_CONFIG,ACTS,ACTS_D_SYS_CONFIG,UNIQUE,NORMAL,SRA_PARTNO,1,ASC
ACTS,UQ_ACTS_D_SYS_CONFIG,ACTS,ACTS_D_SYS_CONFIG,UNIQUE,NORMAL,SRA_SERNO,2,ASC
ACTS,PK_ACTS_D_SYS_CONFIG_HIST,ACTS,ACTS_D_SYS_CONFIG_HIST,UNIQUE,NORMAL,DUMMY_PK,1,ASC
ACTS,PK_ACTS_D_SYS_CONFIG_HIST,ACTS,ACTS_D_SYS_CONFIG_HIST,UNIQUE,NORMAL,HIST_DATE,2,ASC
ACTS,UQ_ACTS_D_SYS_INV,ACTS,ACTS_D_SYS_INV,UNIQUE,NORMAL,MDS,1,ASC
ACTS,UQ_ACTS_D_SYS_INV,ACTS,ACTS_D_SYS_INV,UNIQUE,NORMAL,PARTNO,2,ASC
ACTS,UQ_ACTS_D_SYS_INV,ACTS,ACTS_D_SYS_INV,UNIQUE,NORMAL,SERNO,3,ASC
ACTS,ACTS_D_SYS_INV_HIST_CONFIG,ACTS,ACTS_D_SYS_INV_HIST,NONUNIQUE,NORMAL,CONFIG,1,ASC
ACTS,ACTS_D_SYS_INV_HIST_USERS,ACTS,ACTS_D_SYS_INV_HIST,NONUNIQUE,NORMAL,SERNO,1,ASC
ACTS,ACTS_D_SYS_INV_HIST_USERS,ACTS,ACTS_D_SYS_INV_HIST,NONUNIQUE,NORMAL,PARTNO,2,ASC
ACTS,ACTS_D_SYS_INV_HIST_USERS,ACTS,ACTS_D_SYS_INV_HIST,NONUNIQUE,NORMAL,SYS_TYPE,3,ASC
ACTS,PK_ACTS_D_SYS_INV_HIST,ACTS,ACTS_D_SYS_INV_HIST,UNIQUE,NORMAL,DUMMY_PK,1,ASC
ACTS,ACTS_D_SYS_MOD_UQ,ACTS,ACTS_D_SYS_MOD,UNIQUE,NORMAL,MOD,1,ASC
ACTS,ACTS_D_SYS_MOD_UQ,ACTS,ACTS_D_SYS_MOD,UNIQUE,NORMAL,SERNO,2,ASC
ACTS,PK_ACTS_D_SYS_MOD,ACTS,ACTS_D_SYS_MOD,UNIQUE,NORMAL,DUMMY_PK,1,ASC
ACTS,ACTS_D_SYS_PMI_UQ,ACTS,ACTS_D_SYS_PMI,UNIQUE,NORMAL,SYS_TYPE,1,ASC
ACTS,ACTS_D_SYS_PMI_UQ,ACTS,ACTS_D_SYS_PMI,UNIQUE,NORMAL,SERNO,2,ASC
ACTS,ACTS_D_SYS_PMI_UQ,ACTS,ACTS_D_SYS_PMI,UNIQUE,NORMAL,PARTNO,3,ASC
ACTS,I_ACTS_D_SYS_PMI,ACTS,ACTS_D_SYS_PMI,NONUNIQUE,NORMAL,SYS_TYPE,1,ASC
ACTS,I_ACTS_D_SYS_PMI,ACTS,ACTS_D_SYS_PMI,NONUNIQUE,NORMAL,SERNO,2,ASC
ACTS,PK_D_SYS_SFTW,ACTS,ACTS_D_SYS_SOFTWARE,UNIQUE,NORMAL,SYS_TYPE,1,ASC
ACTS,PK_D_SYS_SFTW,ACTS,ACTS_D_SYS_SOFTWARE,UNIQUE,NORMAL,SERNO,2,ASC
ACTS,PK_D_SYS_SFTW,ACTS,ACTS_D_SYS_SOFTWARE,UNIQUE,NORMAL,PARTNO,3,ASC
ACTS,PK_D_SYS_SFTW,ACTS,ACTS_D_SYS_SOFTWARE,UNIQUE,NORMAL,SOFTWARE,4,ASC
ACTS,PK_D_SYS_SFTW,ACTS,ACTS_D_SYS_SOFTWARE,UNIQUE,NORMAL,REVISION,5,ASC
ACTS,PK_ACTS_D_TEST,ACTS,ACTS_D_TEST,UNIQUE,NORMAL,DUMMY_PK,1,ASC
ACTS,ACTS_D_TIME_UQ,ACTS,ACTS_D_TIME,UNIQUE,NORMAL,JOB_ID,1,ASC
ACTS,ACTS_D_TIME_UQ,ACTS,ACTS_D_TIME,UNIQUE,NORMAL,SEQ,2,ASC
ACTS,ACTS_D_TIME_UQ,ACTS,ACTS_D_TIME,UNIQUE,NORMAL,SERNO,3,ASC
ACTS,ACTS_D_TIME_UQ,ACTS,ACTS_D_TIME,UNIQUE,NORMAL,START_DAY,4,ASC
ACTS,ACTS_D_TIME_UQ,ACTS,ACTS_D_TIME,UNIQUE,NORMAL,START_HR,5,ASC
ACTS,IDX_DTIME_JOB,ACTS,ACTS_D_TIME,NONUNIQUE,NORMAL,JOB_ID,1,ASC
ACTS,IDX_DTIME_PNSNJOB,ACTS,ACTS_D_TIME,NONUNIQUE,NORMAL,PARTNO,1,ASC
ACTS,IDX_DTIME_PNSNJOB,ACTS,ACTS_D_TIME,NONUNIQUE,NORMAL,SERNO,2,ASC
ACTS,IDX_DTIME_PNSNJOB,ACTS,ACTS_D_TIME,NONUNIQUE,NORMAL,JOB_ID,3,ASC
ACTS,PK_ACTS_D_TIME,ACTS,ACTS_D_TIME,UNIQUE,NORMAL,DUMMY_PK,1,ASC
ACTS,PK_D_TIS_RDO,ACTS,ACTS_D_TIS_RADIO,UNIQUE,NORMAL,TIS_SERNO,1,ASC
ACTS,PK_D_TIS_RDO,ACTS,ACTS_D_TIS_RADIO,UNIQUE,NORMAL,RDO_SERNO,2,ASC
ACTS,ACTS_LOOKUP_VER_UQ,ACTS,ACTS_LOOKUP_VER,UNIQUE,NORMAL,VERSION,1,ASC
ACTS,PK_ACTS_LOOKUP_VER,ACTS,ACTS_LOOKUP_VER,UNIQUE,NORMAL,DUMMY_PK,1,ASC
ACTS,IDX_MDSDICT_SYSPN,ACTS,ACTS_MDS_DICT,NONUNIQUE,NORMAL,SYS_TYPE,1,ASC
ACTS,IDX_MDSDICT_SYSPN,ACTS,ACTS_MDS_DICT,NONUNIQUE,NORMAL,PARTNO,2,ASC
ACTS,PK_ACTS_MDS_DICT,ACTS,ACTS_MDS_DICT,UNIQUE,NORMAL,DUMMY_PK,1,ASC
ACTS,PK_MOD_DICT,ACTS,ACTS_MOD_DICT,UNIQUE,NORMAL,SYS_TYPE,1,ASC
ACTS,PK_MOD_DICT,ACTS,ACTS_MOD_DICT,UNIQUE,NORMAL,NAME,2,ASC
ACTS,PK_ACTS_PMC_LIM,ACTS,ACTS_PMC_LIM,UNIQUE,NORMAL,DUMMY_PK,1,ASC
ACTS,ACTS_PROCESSING_SUMMARY_UQ,ACTS,ACTS_PROCESSING_SUMMARY,UNIQUE,NORMAL,CONTROL_NO,1,ASC
ACTS,PK_ACTS_PROCESSING_SUMMARY,ACTS,ACTS_PROCESSING_SUMMARY,UNIQUE,NORMAL,DUMMY_PK,1,ASC
ACTS,PK_ACTS_REPORTCODES_DICT,ACTS,ACTS_REPORTCODES_DICT_BACKUP,UNIQUE,NORMAL,DUMMY_PK,1,ASC
ACTS,ACTS_REPORTCODES_DICT_TBL_PK,ACTS,ACTS_REPORTCODES_DICT_TBL,UNIQUE,NORMAL,DUMMY_PK,1,ASC
ACTS,PK_RNG_CAP_DICT,ACTS,ACTS_RNG_CAP_DICT,UNIQUE,NORMAL,TYPE,1,ASC
ACTS,PK_RNG_CAP_DICT,ACTS,ACTS_RNG_CAP_DICT,UNIQUE,NORMAL,NAME,2,ASC
ACTS,PK_RNG_CAP_DICT,ACTS,ACTS_RNG_CAP_DICT,UNIQUE,NORMAL,VERSION,3,ASC
ACTS,PK_SFTW_DICT,ACTS,ACTS_SFTW_DICT,UNIQUE,NORMAL,SYS_TYPE,1,ASC
